nazev,delka,sirka,datumdo,vyska,biotop,kodbiotopu,samec,samice,juv,ex
Ardea cinerea,13.27,49.17,22.3.2005,658,les,301,40,33,43,21
Dicrostonyx groenlandicus,16.31,49.89,1.2.1945,1137,biotop b,7,38,25,7,30
Dasyprocta leporina,13.11,49.25,8.6.1938,626,lidska obydli,200,28,8,36,34
Potorous tridactylus,12.13,50.35,16.1.2008,1130,skály nižších a středních výšek,308,34,47,3,43
Haematopus ater,15.11,50.67,23.10.1959,1124,lidska obydli,200,14,13,10,2
Larus sp.,17.47,50.17,9.12.2021,546,lidska obydli,200,22,8,28,20
Sarcorhamphus papa,13.41,49.25,21.8.1992,887,lidska obydli,200,43,9,31,3
Snycerus caffer,16.65,50.05,4.5.1915,652,nahodny biotop,24,47,22,14,39
Melophus lathami,14.03,48.83,19.5.1918,714,slatiny,217,30,24,33,0
Lemur fulvus,18.57,50.11,22.4.1914,761,bazina,369,36,49,25,15
Corythornis cristata,18.37,50.85,14.9.1967,700,suťové lesy,327,6,4,26,31
Merops nubicus,15.61,49.87,28.4.1929,937,louka,202,37,0,6,34
Cercatetus concinnus,14.25,49.83,30.5.1950,527,bazina,369,19,43,14,36
Gazella granti,17.17,48.67,9.5.1996,649,lidska obydli,200,13,29,6,10
Ratufa indica,14.25,50.03,20.10.1928,987,doubravy,206,42,4,28,18
Panthera leo,17.01,49.65,25.10.1954,849,lidska obydli,200,50,10,41,41
Semnopithecus entellus,14.25,51.11,18.9.1985,899,slatiny,217,21,31,0,43
Haliaeetus leucocephalus,18.15,49.13,26.9.1953,530,doubravy,206,6,22,8,6
Bubo virginianus,13.37,50.81,23.5.1923,819,xerotermni tentononc,310,26,33,21,6
Alligator mississippiensis,14.07,48.63,14.1.1963,665,doubravy,206,29,13,35,48
Panthera leo persica,17.01,50.15,12.8.1993,933,suťové lesy,327,35,8,25,20
Anser anser,13.35,50.17,26.9.1984,1120,biotop b,7,24,32,38,16
Melanerpes erythrocephalus,14.23,50.65,14.12.1926,543,lidska obydli,200,18,39,0,10
Phalaropus lobatus,18.69,49.63,2.7.1936,574,Skalní stepi na vápensových podkladech,215,34,16,11,1
Mazama gouazoubira,16.61,49.15,13.11.1924,1009,lidska obydli,200,3,29,11,10
Spermophilus richardsonii,12.55,49.97,18.3.1982,1105,bazina,369,1,11,23,19
unavailable,16.59,50.65,11.10.1946,1037,biotop b,7,32,26,19,4
Myrmecophaga tridactyla,13.15,50.67,5.8.1938,1008,les,301,46,7,46,42
Columba livia,18.43,49.31,31.7.1918,1189,Skalní stepi na vápensových podkladech,215,13,12,13,47
Bassariscus astutus,15.67,49.83,14.6.1990,992,lidska obydli,200,3,7,29,34
Zonotrichia capensis,14.45,51.15,31.5.1935,667,xerotermni tentononc,310,41,10,46,20
Ceratotherium simum,14.15,50.89,9.1.1904,1131,doubravy,206,36,5,19,47
Gymnorhina tibicen,16.55,49.13,5.10.1906,844,mocaly,207,1,3,19,18
Erethizon dorsatum,16.25,49.77,18.2.1958,805,Skalní stepi na vápensových podkladech,215,7,1,8,35
Streptopelia senegalensis,15.29,50.09,15.8.1910,637,skály nižších a středních výšek,308,42,15,23,47
Estrilda erythronotos,12.83,49.09,7.5.2021,1045,skály nižších a středních výšek,308,12,12,15,21
Mycteria leucocephala,13.49,48.75,20.9.2021,792,biotop a,326,40,29,11,46
Vanellus armatus,14.97,50.03,19.4.1964,1090,bazina,369,44,13,3,15
Acrantophis madagascariensis,17.75,51.03,26.7.1917,514,biotop a,326,29,29,34,45
Felis silvestris lybica,15.23,50.99,6.7.1998,655,skály nižších a středních výšek,308,20,13,48,49
Gazella granti,14.61,51.19,5.2.1993,965,bazina,369,44,37,6,30
Bettongia penicillata,12.69,49.17,14.5.1908,973,doubravy,206,30,42,15,11
Sula nebouxii,16.81,50.39,12.10.1945,1138,Skalní stepi na vápensových podkladech,215,16,4,16,7
Thylogale stigmatica,16.39,49.31,19.11.1977,950,louka,202,11,38,43,35
Lycaon pictus,17.29,50.13,26.3.1963,682,biotop a,326,25,32,4,4
Sylvicapra grimma,14.39,48.51,28.12.1973,1184,suťové lesy,327,18,18,10,27
Anas bahamensis,15.37,50.89,19.9.1936,917,lidska obydli,200,36,3,9,34
Dusicyon thous,15.39,49.77,20.7.1980,759,bazina,369,3,21,13,49
Gazella granti,18.01,49.01,15.6.1963,1003,louka,202,41,19,21,49
Eolophus roseicapillus,17.59,50.33,24.4.1955,1033,doubravy,206,1,18,37,32
Platalea leucordia,16.35,51.13,26.7.2002,1121,biotop b,7,39,18,24,27
Xerus sp.,12.49,49.75,27.9.1931,868,Skalní stepi na vápensových podkladech,215,41,45,46,25
Choriotis kori,17.17,49.99,6.1.1922,1139,nahodny biotop,24,19,27,19,30
Dasyurus maculatus,12.83,50.47,26.11.2008,788,nahodny biotop,24,46,24,44,7
Cacatua tenuirostris,14.23,49.01,28.9.2016,1192,Skalní stepi na vápensových podkladech,215,31,30,38,9
Eubalaena australis,12.87,49.65,26.10.1969,1091,suťové lesy,327,41,0,40,24
Marmota flaviventris,17.79,48.91,19.6.1901,703,skály nižších a středních výšek,308,37,36,22,35
Semnopithecus entellus,16.07,50.89,29.1.1929,613,biotop a,326,2,6,40,28
Cochlearius cochlearius,18.27,50.93,12.8.1900,959,suťové lesy,327,37,50,25,49
Butorides striatus,18.21,50.11,17.1.1933,1004,skály nižších a středních výšek,308,4,14,11,11
Turtur chalcospilos,15.35,49.15,19.11.1925,720,bazina,369,41,10,50,1
Heloderma horridum,18.71,49.73,1.5.2003,1049,doubravy,206,35,3,29,22
Mirounga angustirostris,14.53,48.73,26.8.1974,888,mocaly,207,3,16,36,32
Acridotheres tristis,17.49,50.13,7.4.1984,1014,skály nižších a středních výšek,308,32,13,19,26
Nectarinia chalybea,12.33,48.81,7.9.1962,935,louka,202,46,37,18,36
Bucephala clangula,16.73,49.75,11.2.1991,657,Skalní stepi na vápensových podkladech,215,29,17,0,43
Echimys chrysurus,14.87,51.03,28.10.1916,593,mocaly,207,32,17,18,37
Heloderma horridum,15.29,49.35,29.8.1985,711,doubravy,206,7,27,28,29
Rhea americana,17.69,49.09,12.3.2013,661,louka,202,49,20,2,4
Mycteria ibis,17.07,49.39,25.12.1993,849,skály nižších a středních výšek,308,35,27,37,45
Macropus agilis,17.99,50.07,15.8.1938,707,doubravy,206,24,44,24,47
Felis silvestris lybica,16.87,50.57,17.11.1973,747,mocaly,207,32,43,45,45
Felis silvestris lybica,14.99,48.75,24.7.2012,1200,biotop b,7,39,4,35,28
Haliaeetus leucoryphus,14.29,49.83,10.6.1900,747,skály nižších a středních výšek,308,21,16,24,39
Damaliscus dorcas,12.79,51.07,8.9.1987,1161,lidska obydli,200,11,28,38,24
Vulpes chama,14.93,50.19,3.6.1912,992,biotop b,7,4,35,44,27
Anas platyrhynchos,16.17,50.71,15.2.1992,587,biotop b,7,43,47,23,19
Herpestes javanicus,13.51,50.23,5.6.1985,942,doubravy,206,17,14,29,44
Vulpes vulpes,15.21,50.05,12.2.1969,563,slatiny,217,19,0,41,45
Canis mesomelas,13.37,50.37,18.10.1998,861,xerotermni tentononc,310,28,36,50,14
Macaca mulatta,13.41,49.53,30.1.2002,573,Skalní stepi na vápensových podkladech,215,32,23,3,14
Tauraco porphyrelophus,12.61,50.31,28.11.1962,1169,doubravy,206,38,33,3,44
Columba livia,12.35,49.29,22.2.1915,962,doubravy,206,28,48,30,40
Zenaida galapagoensis,18.05,49.39,17.6.1997,781,bazina,369,31,24,43,37
Dasypus septemcincus,12.79,49.19,31.5.1975,545,biotop a,326,34,31,41,23
Corvus brachyrhynchos,12.57,50.37,17.6.1960,1200,louka,202,32,9,0,18
Columba livia,16.85,50.39,26.2.1918,513,nahodny biotop,24,10,3,11,2
Oncorhynchus nerka,12.95,48.89,9.7.1954,603,xerotermni tentononc,310,4,47,22,37
Chelodina longicollis,14.17,48.67,20.11.1988,803,biotop b,7,48,11,9,14
Vulpes chama,16.97,49.93,3.6.1942,598,lidska obydli,200,50,38,32,4
Bassariscus astutus,18.47,48.93,25.12.1922,979,suťové lesy,327,46,31,0,9
Canis aureus,15.41,50.75,23.3.1943,739,suťové lesy,327,30,33,14,46
Canis aureus,12.89,49.23,1.1.1920,815,doubravy,206,4,40,24,24
Colobus guerza,14.05,48.81,18.1.1913,1138,Skalní stepi na vápensových podkladech,215,14,9,2,42
Pavo cristatus,12.85,50.69,12.3.1988,872,xerotermni tentononc,310,44,31,24,12
Threskionis aethiopicus,14.15,49.93,24.5.2020,1078,xerotermni tentononc,310,30,38,25,22
Gorilla gorilla,17.85,49.93,16.12.1938,1179,nahodny biotop,24,35,1,36,9
Coendou prehensilis,17.83,50.27,1.12.1949,659,Skalní stepi na vápensových podkladech,215,32,21,34,32
Varanus sp.,14.75,49.35,3.10.1976,629,xerotermni tentononc,310,35,49,31,1
Eremophila alpestris,12.55,49.91,27.8.1944,1010,louka,202,25,31,7,26
Graspus graspus,12.81,51.19,25.11.2007,761,louka,202,31,45,32,40
Bugeranus caruncalatus,18.45,49.01,12.12.2009,755,suťové lesy,327,29,43,14,27
Agkistrodon piscivorus,16.23,50.41,6.3.1948,940,skály nižších a středních výšek,308,14,48,10,49
Choriotis kori,16.89,50.55,16.12.1985,774,les,301,10,30,34,16
Phalacrocorax niger,18.31,49.29,18.8.2010,800,biotop b,7,39,42,32,49
Anser caerulescens,17.69,50.79,7.6.2003,1179,biotop b,7,15,49,10,33
Varanus sp.,17.99,48.89,23.2.1985,1092,skály nižších a středních výšek,308,47,45,36,17
Procyon cancrivorus,14.31,50.41,17.6.1977,1003,bazina,369,24,13,24,47
Spheniscus magellanicus,16.45,50.59,2.7.2008,739,les,301,22,5,30,4
Ara chloroptera,17.31,48.63,23.5.1956,714,bazina,369,28,39,38,17
Neotis denhami,15.13,50.31,27.1.2011,539,slatiny,217,45,50,45,45
Macaca radiata,16.37,51.09,22.2.1999,854,bazina,369,22,29,38,32
Francolinus leucoscepus,17.49,48.87,12.10.2007,647,biotop b,7,46,17,20,3
Nannopterum harrisi,18.23,48.61,31.3.1950,643,nahodny biotop,24,44,7,49,31
Colobus guerza,12.97,48.97,25.7.1951,1020,nahodny biotop,24,28,9,17,45
Eurocephalus anguitimens,18.95,49.23,19.1.2011,828,doubravy,206,49,5,11,5
Papio ursinus,12.15,51.11,5.5.1929,922,louka,202,3,28,17,24
Paroaria gularis,13.85,49.23,11.8.2012,1044,Skalní stepi na vápensových podkladech,215,32,20,32,4
Paroaria gularis,13.57,50.95,26.4.1976,507,mocaly,207,48,48,36,14
Merops nubicus,14.01,48.57,4.2.1907,599,bazina,369,37,44,28,25
Tockus flavirostris,12.29,49.41,31.8.2020,615,lidska obydli,200,38,4,10,26
Erinaceus frontalis,14.01,51.07,11.3.2005,810,xerotermni tentononc,310,19,24,37,10
Hyaena hyaena,14.97,48.87,11.10.1962,1180,lidska obydli,200,16,33,46,9
Phylurus milli,17.97,50.21,29.8.1976,613,xerotermni tentononc,310,44,4,18,21
Phalacrocorax varius,16.87,50.89,23.6.1924,953,lidska obydli,200,9,27,47,36
Trichechus inunguis,14.27,50.29,13.12.1994,1008,biotop a,326,2,0,41,10
Gorilla gorilla,18.37,48.61,29.12.1998,1129,doubravy,206,24,34,31,17
Ictonyx striatus,13.09,49.45,30.8.1935,634,louka,202,41,27,14,42
Buteo jamaicensis,12.79,48.89,31.10.1956,817,suťové lesy,327,7,5,48,49
Phalacrocorax niger,16.27,49.63,8.2.1972,1121,xerotermni tentononc,310,14,8,9,3
Morelia spilotes variegata,14.39,50.11,4.2.1922,764,slatiny,217,30,2,48,33
Lybius torquatus,13.63,51.07,7.5.1938,1102,suťové lesy,327,27,30,24,43
Tockus erythrorhyncus,13.71,49.07,27.1.2018,904,biotop a,326,41,34,28,17
Crocodylus niloticus,14.69,50.27,19.10.1976,1066,bazina,369,4,27,44,16
Francolinus coqui,14.01,49.11,26.1.2015,1085,biotop b,7,20,46,29,8
Corvus albus,13.41,49.67,29.7.2018,1111,louka,202,42,29,34,45
Phoca vitulina,13.39,50.25,15.12.2014,618,xerotermni tentononc,310,10,41,29,26
Tragelaphus scriptus,12.53,49.81,17.3.1990,1092,nahodny biotop,24,34,12,15,18
Corvus brachyrhynchos,14.53,49.71,6.12.1940,734,xerotermni tentononc,310,0,8,6,50
Macropus rufogriseus,12.81,48.49,20.1.1969,500,suťové lesy,327,35,43,34,34
Mazama americana,18.57,50.25,16.6.1938,985,skály nižších a středních výšek,308,30,22,1,16
Ammospermophilus nelsoni,14.37,50.37,6.1.1918,1172,lidska obydli,200,18,20,42,18
Choloepus hoffmani,15.65,49.31,5.4.1925,1014,slatiny,217,47,20,20,11
Macaca fuscata,18.57,48.89,24.12.1931,861,Skalní stepi na vápensových podkladech,215,37,41,14,47
Chauna torquata,14.35,49.51,7.4.1956,920,Skalní stepi na vápensových podkladech,215,16,7,37,8
unavailable,12.33,48.81,13.6.1900,560,bazina,369,26,36,10,11
Eurocephalus anguitimens,18.37,48.53,1.4.2015,1182,doubravy,206,20,40,46,36
Gorilla gorilla,18.75,49.03,23.9.1998,574,suťové lesy,327,29,32,23,37
Tachybaptus ruficollis,13.55,50.41,19.8.1954,1053,suťové lesy,327,12,8,38,45
Mirounga angustirostris,16.11,51.09,10.6.1918,1105,slatiny,217,27,18,19,50
Columba palumbus,18.03,48.69,29.3.1946,660,xerotermni tentononc,310,6,22,33,50
Lybius torquatus,12.41,51.11,1.3.1953,617,nahodny biotop,24,2,22,42,7
Erethizon dorsatum,15.49,48.59,12.3.1997,903,biotop b,7,37,28,24,19
Graspus graspus,14.99,49.79,11.9.1937,1068,louka,202,13,38,3,15
Felis wiedi or Leopardus weidi,16.39,50.71,19.2.1999,965,Skalní stepi na vápensových podkladech,215,12,36,39,23
Delphinus delphis,15.37,50.87,12.5.1960,1165,les,301,26,12,9,21
Paraxerus cepapi,15.55,49.99,6.1.1947,1194,skály nižších a středních výšek,308,5,1,11,16
Rhea americana,15.11,50.67,28.9.1941,720,nahodny biotop,24,33,9,30,33
Lorythaixoides concolor,16.37,50.13,2.5.1951,1100,doubravy,206,34,42,30,0
Gyps bengalensis,18.07,50.21,16.1.2015,720,louka,202,5,3,44,17
Uraeginthus granatina,17.39,49.63,10.9.1985,711,les,301,16,7,22,24
unavailable,12.15,49.63,12.12.1990,770,bazina,369,0,35,29,40
Ciconia episcopus,18.67,51.13,22.12.1952,1133,lidska obydli,200,24,2,31,18
Terrapene carolina,14.39,48.87,17.9.1916,585,nahodny biotop,24,34,48,37,3
Egretta thula,12.01,49.39,13.9.2020,1149,bazina,369,7,27,14,50
Genetta genetta,13.19,50.63,13.8.2002,923,xerotermni tentononc,310,12,24,48,45
Lycaon pictus,17.73,48.99,25.3.2009,1166,bazina,369,38,43,8,31
Falco mexicanus,15.61,49.31,13.9.1986,723,slatiny,217,28,38,49,32
Sylvicapra grimma,18.63,50.03,9.5.1913,756,suťové lesy,327,0,23,24,40
Pseudoleistes virescens,13.47,50.99,16.7.1990,1156,xerotermni tentononc,310,12,47,49,9
Melanerpes erythrocephalus,15.31,50.21,18.7.1905,692,skály nižších a středních výšek,308,4,11,30,0
Iguana iguana,14.67,48.83,5.6.1931,990,biotop b,7,50,33,40,40
Tadorna tadorna,16.55,49.97,8.3.1930,912,skály nižších a středních výšek,308,33,4,47,20
Stercorarius longicausus,17.33,49.15,13.2.1949,803,slatiny,217,1,49,14,35
Gabianus pacificus,17.17,49.87,25.6.1995,636,nahodny biotop,24,11,16,34,33
Nasua narica,12.47,48.59,7.4.1977,1061,skály nižších a středních výšek,308,48,18,48,15
Varanus komodensis,16.57,50.85,12.4.2014,598,Skalní stepi na vápensových podkladech,215,42,39,2,9
Platalea leucordia,13.39,50.21,17.8.2018,1030,louka,202,31,20,40,23
Galictis vittata,15.81,49.31,9.10.1929,604,lidska obydli,200,13,28,27,43
Ursus americanus,17.75,50.53,13.12.1934,1131,biotop b,7,36,48,29,41
Felis wiedi or Leopardus weidi,14.13,48.91,2.3.1945,974,bazina,369,24,41,47,11
unavailable,14.89,49.99,2.11.1925,1051,bazina,369,46,28,40,34
Dusicyon thous,13.13,49.91,25.7.1967,837,doubravy,206,30,24,25,24
Acrobates pygmaeus,18.73,48.73,27.2.1906,524,skály nižších a středních výšek,308,21,13,29,11
Lamprotornis nitens,13.13,50.11,18.5.2001,698,nahodny biotop,24,11,45,16,2
Milvus migrans,18.53,49.21,3.9.1932,803,les,301,12,16,31,2
Alectura lathami,13.89,50.31,12.12.1910,1040,biotop a,326,21,2,24,48
Streptopelia senegalensis,15.33,48.85,25.2.1997,1031,Skalní stepi na vápensových podkladech,215,50,41,12,41
Merops sp.,13.41,48.55,8.5.2000,944,skály nižších a středních výšek,308,17,19,44,46
Macropus rufus,14.29,49.01,7.11.2007,1094,slatiny,217,34,48,31,12
Herpestes javanicus,17.43,50.53,21.10.1980,1082,bazina,369,8,4,30,23
Macaca fuscata,14.39,49.43,26.5.2012,1129,lidska obydli,200,32,10,0,14
Tringa glareola,16.41,48.63,9.12.1965,940,bazina,369,34,9,16,21
Kobus defassa,14.19,49.83,4.7.1962,1095,biotop b,7,40,31,16,17
Terathopius ecaudatus,16.63,50.01,20.9.1947,707,slatiny,217,28,5,15,33
Meles meles,15.17,50.25,16.1.2014,1017,xerotermni tentononc,310,27,27,1,15
Lycaon pictus,12.01,49.21,25.4.1943,607,skály nižších a středních výšek,308,7,40,49,46
Aonyx cinerea,13.83,50.15,8.3.2011,715,bazina,369,40,7,18,22
Alcelaphus buselaphus caama,18.09,49.53,24.6.2006,710,lidska obydli,200,23,16,23,50
Streptopelia senegalensis,17.51,49.31,17.1.1923,1060,slatiny,217,13,11,12,2
Sitta canadensis,16.41,49.69,18.10.1930,1125,slatiny,217,16,8,42,32
Hystrix cristata,13.47,51.03,28.12.1901,505,biotop b,7,34,16,23,49
Milvus migrans,14.75,49.27,14.1.1964,1160,bazina,369,24,13,9,31
Salvadora hexalepis,14.59,49.77,9.4.2018,996,lidska obydli,200,45,14,11,29
Smithopsis crassicaudata,15.51,49.37,9.12.1972,841,louka,202,47,36,35,44
Ovis dalli stonei,18.41,48.83,17.4.1946,943,bazina,369,18,7,14,28
unavailable,16.79,50.27,1.8.1947,1184,lidska obydli,200,4,12,37,36
Francolinus swainsonii,12.13,49.43,8.2.2019,812,doubravy,206,9,26,41,46
Cacatua tenuirostris,14.95,49.07,31.7.1930,841,Skalní stepi na vápensových podkladech,215,44,42,38,34
Dendrohyrax brucel,17.41,49.21,7.12.1958,713,louka,202,10,37,12,48
Nyctanassa violacea,18.23,50.83,2.5.1930,942,Skalní stepi na vápensových podkladech,215,42,50,35,34
Actophilornis africanus,15.27,49.29,20.12.2011,1017,mocaly,207,10,30,21,35
unavailable,12.83,51.03,13.8.2003,1056,bazina,369,5,25,13,4
Hippotragus equinus,17.15,49.83,24.8.1904,1198,mocaly,207,47,3,1,41
Spheniscus mendiculus,12.89,51.03,8.4.2003,668,nahodny biotop,24,35,49,7,34
Ammospermophilus nelsoni,12.75,49.85,10.3.1990,819,bazina,369,28,22,50,36
Acrantophis madagascariensis,16.79,49.85,22.11.2016,1025,bazina,369,21,34,45,11
Lamprotornis chalybaeus,12.73,49.67,28.5.1930,632,biotop b,7,37,37,7,49
Alouatta seniculus,18.81,49.35,16.5.1993,719,skály nižších a středních výšek,308,31,8,41,15
Phascogale calura,14.15,49.35,18.10.2020,1125,biotop b,7,40,28,34,31
Spizaetus coronatus,12.97,49.03,21.4.2007,746,suťové lesy,327,37,35,31,16
Odocoilenaus virginianus,14.83,48.57,25.12.1964,1038,mocaly,207,28,34,11,15
Passer domesticus,18.91,48.79,1.9.1956,606,biotop b,7,31,41,8,23
Cracticus nigroagularis,18.81,50.27,14.3.1952,916,xerotermni tentononc,310,27,8,8,14
Felis silvestris lybica,15.63,50.85,7.2.1977,875,slatiny,217,27,26,8,49
Graspus graspus,18.11,49.67,10.6.1917,660,bazina,369,40,36,31,11
Vanessa indica,16.77,48.91,2.2.1966,641,les,301,23,21,23,41
Sylvicapra grimma,14.05,50.63,26.10.1965,709,suťové lesy,327,42,36,1,30
Sus scrofa,18.43,49.31,29.1.1915,856,xerotermni tentononc,310,32,37,29,38
Tockus erythrorhyncus,12.73,50.75,27.9.2005,685,louka,202,34,33,10,41
Heloderma horridum,18.79,48.47,19.12.1998,1059,bazina,369,1,34,17,12
Petaurus breviceps,17.65,50.07,19.12.1912,1110,suťové lesy,327,23,4,3,33
Haematopus ater,12.81,50.19,11.10.1982,635,skály nižších a středních výšek,308,9,13,50,47
Bucorvus leadbeateri,17.33,50.99,26.8.2019,509,biotop a,326,35,42,16,17
Ephippiorhynchus mycteria,14.35,49.71,11.5.1979,1081,louka,202,14,15,43,18
Phylurus milli,18.43,48.41,8.4.2019,627,nahodny biotop,24,12,30,17,17
Aonyx cinerea,12.35,48.65,28.4.1966,776,skály nižších a středních výšek,308,33,39,22,48
Merops bullockoides,16.31,48.91,16.12.1904,839,doubravy,206,11,46,49,9
Uraeginthus granatina,17.69,48.47,15.9.1907,1003,les,301,11,14,47,16
